location,price,type_type,type_square,type_layout,type_layout_details,built_info_year,built_info_structure,live_info_nearest_supermarket,live_info_nearest_subway
"Chiba City, Hanamigawa Ward",$1200,House,80 sqm,3LDK,40 sqm living room,2010,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$900,Apartment,60 sqm,2LDK,25 sqm living room,2000,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Kanagawa Ward",$1500,Condominium,90 sqm,3LDK,45 sqm living room,2015,Steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50,1LDK,Living room: 20sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70,2LDK,Living room: 30sqm,1995,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1200,House,80,3LDK,Living room: 40sqm,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$900,Apartment,60,1DK,Living room: 25sqm,1998,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Nishi Ward",$1100,Condominium,75,2LDK,Living room: 35sqm,2005,Steel,18 minutes by walk,10 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2000,Steel,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,2LDK,Living room: 30 sqm,1995,Concrete,15 minutes by walk,10 minutes by bus
"Chiba City, Chiba Ward",$1200,House,100 sqm,3LDK,Living room: 40 sqm,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$900,Apartment,60 sqm,2LDK,Living room: 25 sqm,2005,Steel,8 minutes by walk,3 minutes by bus
"Yokohama City, Naka Ward",$1100,Condominium,80 sqm,3LDK,Living room: 35 sqm,1990,Concrete,12 minutes by walk,8 minutes by bus
"Tokyo City, Shinjuku Ward",$800,Apartment,50 sqm,1LDK,Living room: 25 sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 30 sqm,1995,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,Living room: 35 sqm,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$750,Apartment,60 sqm,1DK,Living room: 20 sqm,2005,Concrete,5 minutes by walk,3 minutes by bus
"Yokohama City, Nishi Ward",$850,Condominium,65 sqm,2DK,Living room: 25 sqm,1990,Steel,12 minutes by walk,8 minutes by bus
"Tokyo City, Chiyoda Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2005,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 30 sqm,2010,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,Living room: 40 sqm,1995,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 sqm,2LDK,Living room: 25 sqm,2008,Concrete,12 minutes by walk,7 minutes by bus
"Yokohama City, Hodogaya Ward",$1200,House,90 sqm,4LDK,Living room: 50 sqm,2002,Concrete,18 minutes by walk,10 minutes by bus
