name,year,location,layout,price,description
Saitama Deluxe House,2017,"Saitama City, Kita Ward",2LDK,"¥200,000/month","This spacious and modern house is perfect for families or roommates. It features a modern design with large windows for plenty of natural light. Pets and smoking are not allowed for the comfort of all tenants. Free wifi is provided for convenience. The nearest subway station is a 15 minute walk and the closest supermarket is only a 5 minute walk away for convenient grocery shopping. Taking the subway, it takes about 30 minutes to reach central Tokyo. This house also has an elevator for easy access to all floors."
Sunset Villa,2017,"Inage Ward, Chiba City",2LDK,"¥150,000/month","Pets allowed, no smoking, free WIFI provided. 5-minute walk to nearest subway station (Inage Station). 10 minutes to convenience store, 15 minutes to supermarket."
Peaceful Oasis in Kawasaki,2010,"Kawasaki, Tama Ward",2LDK,"¥120,000/month","This beautiful 2 bedroom apartment in the peaceful area of Kawasaki is the perfect oasis for those looking to escape the hustle and bustle of Tokyo. The building was constructed in 2010, so it has modern amenities and a clean, new feel. It is located in Tama Ward, which is known for its quiet neighborhoods and natural surroundings. The layout is a spacious 2LDK, perfect for a couple or small family. Rent is ¥120,000 per month. Pets and smoking are not allowed. Free wifi is provided and there is an elevator in the building. It takes about 10 minutes to walk to the nearest subway station, which is Nakahara-Koen Station, and from there it is about a 20 minute ride to Yokohama Station. The nearest supermarket is a 5 minute walk away."
Modern 1LDK House in Kawasaki,2018,"Kawasaki, Miyamae Ward",1LDK,"¥150,000/month","This modern 1LDK house is located in the quiet and family-friendly neighborhood of Kawasaki, in Miyamae Ward. Built in 2018, the house is in excellent condition and has all the necessary amenities for a comfortable living. Pets are allowed and smoking is only allowed in designated areas. Free wifi is provided and there is an elevator in the building. The nearest subway station is a 10-minute walk and the name of the station is Musashi-Kosugi Station. The nearest supermarket is a 5-minute walk from the house."
Peaceful Green House,2010,"Kawasaki, Kawasaki-ku",2LDK,"¥130,000 / month","This beautiful and spacious house is located in Kawasaki, in the quiet and peaceful neighborhood of Kawasaki-ku. Built in 2010, it offers modern amenities and convenience for comfortable living. The layout is 2LDK, with two bedrooms, a living room, dining room, and kitchen. Pets and smoking are not allowed in the house. Free wifi is provided. There is an elevator in the building, making it easily accessible for all. It takes only 10 minutes to walk to the nearest subway station, and the nearest supermarket is also a 10-minute walk away."
Cozy Chiba House,2015,"Chiba City, Chuo Ward",1LDK,"¥120,000/month","This modern house was built in 2015 and is located in the bustling city of Chiba. It features a spacious 1LDK layout, perfect for individuals or couples. The rental price is ¥120,000 per month and includes free wifi. Pets and smoking are not allowed. There is an elevator in the building and it takes 10 minutes to walk to the nearest subway station, Chiba Station. It also only takes 5 minutes to walk to the nearest supermarket, making grocery shopping quick and convenient."
Japanese Style House in Yokohama,1997,"Yokohama, Naka Ward",1LDK,"¥120,000/month","Pets not allowed, smoking not allowed, free wifi provided. 5-minute walk to nearest subway station, Kannai Station. 10-minute walk to nearest supermarket."
Chiba Seaside House,2005,"Chiba, Mihama Ward",2LDK,"¥180,000/month","This beautiful seaside house was built in 2005 and is conveniently located in the Mihama Ward of Chiba. The layout is a spacious 2LDK, perfect for a small family or roommates. Pets are allowed and smoking is permitted in designated areas. Free wifi is provided. It takes approximately 10 minutes by car or 20 minutes by bus to reach the nearest subway station, Chiba Minato Station. The nearest supermarket is a 5-minute drive away. Enjoy the stunning ocean views and relaxing atmosphere of this Chiba Seaside House for your next rental home."
Cozy Cottage in Fujisawa,1998,"Fujisawa, Kanagawa",2LDK,"¥180,000/month","Pet friendly rental house with free wifi and elevator access.
5 minutes walk to Fujisawa Station.
10 minutes walk to local supermarket."
Spacious Kawasaki House,2015,"Kawasaki, Kanagawa",2LDK,"¥200,000/month","Pet friendly house in a quiet residential area of Kawasaki. Built in 2015, this 2LDK layout offers plenty of space with modern amenities. Free Wifi is provided, but smoking is not allowed. The nearest subway station is a 10-minute walk away, and there is a supermarket within walking distance as well. Elevator access provided for convenience."
Fujisawa House,2018,"Fujisawa City, Kanagawa Prefecture",3LDK,"¥200,000/month","Pets and smoking allowed, free wifi provided. 5 minutes walk to Fujisawa station, 10 minutes by train to nearest subway station. Nearest supermarket is 15 minutes on foot."
Tranquil Retreat in Chiba,2015,"Chiba, Urayasu Ward",2LDK,"¥160,000/month","This spacious and modern house is located in a quiet residential area of Chiba, perfect for those who want to escape the hustle and bustle of the city. The house was built in 2015 and is fully furnished with high-quality appliances and furniture. Pets are allowed with a pet deposit. Smoking is not allowed in the house. Free WIFI is provided. The nearest subway station is a 10-minute walk away, and the nearest supermarket is a 5-minute walk away. The commute to central Tokyo takes approximately 45 minutes via train."
Yokohama 1LDK Spacious House,2010,"Yokohama City, Kanagawa Ward",1LDK,"¥150,000/month","This spacious 1LDK house is located in the heart of Yokohama City, in the popular Kanagawa Ward. Built in 2010, it offers modern amenities and a convenient layout for comfortable living. Pets are allowed with an additional fee and the house is equipped with free WiFi. There is an elevator in the building for easy access, and the nearest subway station, Kanagawa Station, is a 5-minute walk away. The closest supermarket is just a 10-minute walk away, making grocery shopping a breeze."
Oceanview House,2010,"Yokohama, Naka Ward",2LDK,"¥200,000/month","This beautiful house is located in the Naka Ward of Yokohama, right next to the coast. It was built in 2010 and offers a stunning ocean view from every room. The layout is 2LDK, with two bedrooms, a living room, dining room, and kitchen. The rental price is ¥200,000 per month. Pets are allowed and there is free Wi-Fi provided. The house also has an elevator for easy access. The nearest subway station is a 10-minute walk away, and the nearest supermarket is a 5-minute drive. A perfect location for those who love the beach and ocean view living."
Tokyo Tower House,2005,"Minato City, Roppongi",2LDK,"¥200,000/month","Pets are not allowed. Smoking is not allowed. Free wifi is provided. Elevator is available. The nearest subway station is a 5-minute walk, Roppongi Station. The nearest supermarket is a 10-minute walk."
Kawasaki Comfort House,1990,"Kawasaki, Tama Ward",2LDK,"¥150,000/month","This cozy house is located in the peaceful Tama Ward of Kawasaki. Perfect for a small family or couple, the layout consists of 2 bedrooms, a living room, dining room, and kitchen. The house is pet-friendly and comes with free wifi. It is a 10-minute walk to the nearest subway station, and the nearest supermarket is only a 5-minute walk away. Smoking is not allowed on the premises and there is an elevator for easy access to all floors."
Fujisawa Modern House,2015,"Fujisawa, Kanagawa",2LDK,"¥160,000/month","This modern house is located in the peaceful city of Fujisawa, just a short walk from the beach. Perfect for families or friends, this spacious 2LDK layout offers plenty of room to relax and unwind. Pets and smoking are not allowed, but free wifi is provided. The nearest subway station is a 10-minute walk, and the nearest supermarket is just a 5-minute drive away."
Tokyo Sky House,2018,"Shinjuku City, Nishi-Shinjuku Ward",2LDK,"¥190,000/month","This beautiful house is located in the heart of Tokyo, in the bustling Nishi-Shinjuku area. With modern design and high-end amenities, it is perfect for a comfortable stay in the city. The house was built in 2018 and is in excellent condition. Pets and smoking are not allowed. The rental price includes free wifi and there is an elevator in the building for easy access. It takes only 5 minutes to walk to the nearest subway station, Nishi-Shinjuku Station, and from there you can easily access all major areas of Tokyo. The nearest supermarket is also just a short 10-minute walk away."
Spacious House in Fujisawa,2005,"Fujisawa, Kanagawa Prefecture",3LDK,"¥220,000/month","This modern and spacious house is perfect for families or a group of friends. It is equipped with 3 bedrooms, a living room, dining area, and kitchen, providing plenty of space for everyone to relax and enjoy. The house was built in 2005 and has been well-maintained. It is located in a quiet residential area of Fujisawa, a beautiful coastal city in Kanagawa Prefecture. The nearest subway station is a 10-minute walk away, and it takes approximately 20 minutes to reach central Fujisawa by train. The house is also within walking distance to a large supermarket, making grocery shopping convenient. Pets are allowed and there is no smoking allowed inside the house. Free wifi is provided and there is an elevator in the building. This is the perfect house for those looking for a peaceful and comfortable home in Fujisawa."
Spacious and Modern House in Central Kawasaki,2018,"Kawasaki City, Tama Ward",3LDK,"¥200,000/month.","This beautiful 3 bedroom, 2 bathroom house was built in 2018 and is located in the central area of Kawasaki City, Tama Ward. The house is modern and spacious, with a large living room and kitchen area. It is pet friendly and has free-wifi. There is an elevator in the building for easy access. The nearest subway station is a 10-minute walk away and takes 15 minutes to get to the nearest supermarket."
Cozy Fujisawa House,2008,"Fujisawa, Kanagawa Prefecture",2LDK,"¥150,000/month","This newly built house is perfect for a small family or group of friends looking to live in the charming city of Fujisawa. Located just a 10-minute walk from Fujisawa Station, this house offers easy access to both Tokyo and Yokohama. The house is pet-friendly and has free wifi, but smoking is not allowed. There is an elevator in the building, making it easy to move in and out. The nearest subway station is Fujisawa Station, which is a 10-minute walk away. The nearest supermarket is also a 10-minute walk away."
Modern and Spacious House in Central Tokyo,Built in 2015,"Minato Ward, Tokyo",2LDK,"¥180,000/month","Pet-friendly rental house located in the heart of Tokyo, Minato ward. Modern design with plenty of natural light. Smoking is allowed on the balcony. Free Wi-Fi included. Elevator available in the building. A 5-minute walk to the nearest subway station, Roppongi Station on the Hibiya and Oedo lines. 10-minute walk to the nearest supermarket."
Cozy Fujisawa House,1998,"Fujisawa, Kanagawa",1LDK,"¥100,000/month","Pet-friendly, Smoking allowed, Free WiFi, Elevator available. 10 minutes walk to Fujisawa Station (Odakyu Line). 5 minutes walk to nearest supermarket."
Fujisawa House,2015,"Fujisawa City, Kanagawa-ken",2LDK,"¥150,000/month",Pets and smoking are not allowed in this house. Free WiFi is provided. The nearest subway station is a 10-minute walk away. The station is Fujisawa Station. The nearest supermarket is a 15-minute walk away.
Spacious House in Kawasaki,2005,"Kawasaki City, Tama Ward",2LDK,"¥200,000/month","This beautiful house was built in 2005 and is located in the quiet and peaceful Tama Ward of Kawasaki City. It offers a spacious and comfortable layout of 2LDK (2 bedrooms, living room, dining room, kitchen). The rental price is ¥200,000 per month, and the house is available for long-term rental. Pets are allowed and there is free wifi included. The nearest subway station is a 10-minute walk away and the nearest supermarket is just 5 minutes away. The house also has an elevator for easy access."
Modern Saitama Rental House,2018,"Saitama City, Urawa Ward",2LDK,"¥140,000/month","This newly built house in Saitama offers a modern and spacious living space. Conveniently located in Urawa Ward, it is just a 10-minute walk to Urawa Station where you can easily access Tokyo and other areas in Saitama. The 2LDK layout includes a large living room, two bedrooms, a kitchen, and a bathroom. The house is pet-friendly and has free wifi. There is an elevator in the building and it takes just 5 minutes to walk to the nearest supermarket. The nearest subway station is a 15-minute walk away and the name is Urawa-Misono Station."
Fujisawa Modern House,2018,"Fujisawa, Kanagawa Prefecture",2LDK,"¥170,000/month","This modern house located in Fujisawa City, Kanagawa Prefecture is now available for rental. Built in 2018, it features a spacious 2LDK layout perfect for a small family or group of friends. The house is pet-friendly and smoking is allowed. Free Wi-Fi is also provided. It takes approximately 10 minutes by bus to reach the nearest subway station, Fujisawa Station. The house is also within walking distance to a supermarket, making grocery shopping convenient. Don't miss the opportunity to live in this beautiful house in Fujisawa!"
Saitama Residence,2008,"Saitama, Omiya Ward",2LDK,"¥150,000/month","This spacious 2LDK house is located in the quiet residential area of Omiya Ward in Saitama. Built in 2008, it is a relatively new property with modern amenities. The house is pet friendly and allows smoking. Free wifi is provided. Elevators are available for easy access to the upper floors. The nearest subway station, Omiya Station, is a 10-minute walk away, and the nearest supermarket is a 5-minute walk away. Please note that this property requires a 2-month deposit and 1-month advance payment."
Sea View Terrace House,2010,"Yokohama, Isogo Ward",2LDK,"¥180,000/month","Modern and spacious 2LDK (2 bedrooms, living room, dining room, kitchen) house with a stunning sea view. Perfect for families or a group of friends. Located in the beautiful and quiet Isogo Ward, just a 5-minute walk to the nearest subway station. Elevator access and free WiFi provided. Pets and smoking are not allowed. Only a 10-minute walk to the nearest supermarket. Take the subway to Yokohama Station in just 15 minutes for easy access to the city center."
Modern House in Chiba for Rent,2015,"Chiba City, Midori Ward",3LDK,"¥180,000/month","This modern house is located in the peaceful neighborhood of Midori Ward in Chiba City. Built in 2015, it features a spacious 3LDK layout, perfect for families or roommates. Pets and smoking are allowed in the house. Free wifi is provided for tenants. The nearest subway station is a 10-minute walk away, with easy access to major train lines. The closest supermarket is just a 5-minute walk, making grocery shopping convenient. Don't miss out on this opportunity to live in a beautiful house in Chiba!"
Modern 1LDK House,2015,"Kawasaki, Tama Ward",1LDK,"¥150,000/month","Pet friendly, free wifi provided, elevator available. 10 minute walk to nearest subway station (Miyamaedaira Station), 15 minute subway ride to nearest supermarket (AEON Town Kawasaki). Optional paid parking spot available. Beautiful fully furnished modern design with spacious living room and bedroom. Located in a quiet residential area with nearby convenience stores and parks."
Saitama Cozy House,2015,"Saitama, Kita Ward",2LDK,"¥130,000/month","Pet-friendly house with free wifi, located in a quiet and safe neighborhood of Saitama. The nearest subway station is a 10-minute walk away, and there is a bus stop right in front of the house. It takes 20 minutes to reach the nearest supermarket on foot. The house has an elevator, making it easy to move in and out. Smoking is allowed in designated areas. Contact us for more information or to schedule a viewing."
Sakuragicho House,2005,"Yokohama, Nishi ward",1LDK,"¥158,000/month","This modern and spacious house is located in the heart of Yokohama, in the vibrant Nishi ward. It is a 5-minute walk to Sakuragicho station, which has access to multiple train lines. The house is fully furnished and includes free Wi-Fi. Pets are allowed upon approval. Elevators are available in the building. The nearest supermarket is a 10-minute walk away. With easy access to public transportation, this house is perfect for those who want to experience the best of Yokohama."
Tokyo Terrace House,2016,"Shinjuku Ward, Tokyo",3LDK,"¥180,000/month","This spacious and modern 3 bedroom house is located in the heart of Shinjuku, one of the most popular and convenient areas in Tokyo. The house was newly built in 2016 and is in excellent condition. Pets are allowed and smoking is permitted on the outdoor terrace. Free wifi is provided for tenants. The nearest subway station, Higashi-Shinjuku station, is a 5 minute walk away. The nearest supermarket is a 10 minute walk from the house."
Cozy House in Saitama,2015,"Saitama City, Urawa Ward",2LDK,"¥150,000/month","This modern 2LDK house is located in a quiet residential neighborhood in Urawa Ward, Saitama City. Built in 2015, this house is fully furnished and ready for move-in. Pets are allowed, and there is an elevator in the building. The nearest subway station is a 10-minute walk away, and there is also a bus stop right outside the building. It takes 15 minutes to reach the nearest supermarket by bus. Free wifi is provided."
Modern 2LDK House in Chiba,2015,"Chiba City, Chiba Ward",2LDK,"¥150,000/month","This modern 2LDK house in Chiba is perfect for families or those who prefer a more spacious living area. Built in 2015, it features a large living room and dining room, two bedrooms, and a full kitchen. The house is located in a quiet and safe neighbourhood in Chiba City, just a 10 minute walk from the nearest subway station. The nearest supermarket is also just a 5 minute walk away. This house is pet friendly and has free WiFi. Smoking is not allowed inside the house. There is an elevator for easy access to the second floor where the bedrooms are located."
Chiba Cozy 1LDK House,2005,"Chiba City, Midori Ward",1LDK,"¥130,000/month","Located in a quiet residential area in Chiba City, this cozy 1LDK house is perfect for a small family or couple. Built in 2005, the house is modern and well-maintained. Pets and smoking are not allowed. Free wifi is provided. The nearest subway station, Midori-Chiba Station, is a 10-minute walk away. The nearest supermarket is also within walking distance, approximately 15 minutes away."
Koi House,2018,"Shinjuku City, Shinjuku Ward",1LDK,"¥250,000/month","This modern 1LDK house located in the heart of Tokyo offers the perfect mix of luxury and convenience. Fully furnished and designed with sleek Japanese aesthetics, it is perfect for a couple or small family looking for a comfortable and stylish rental. The house is pet-friendly and has free wifi included. It is a 5-minute walk to the nearest subway station, Shinjuku-sanchome Station, and a 10-minute walk to the nearest supermarket. Elevator access is available for easy moving in and out."
Seaside Oasis,2015,"Chiba, Kamogawa City, Amaha area",2LDK,"¥180,000/month","Pet-friendly, smoking allowed outside, free wifi provided. 10-minute walk to Amaha Station on the JR Uchibo Line. 5-minute drive to nearest supermarket."
Chiba Ocean View House,2015,"Nagareyama City, Nagareyama Ward, Chiba Prefecture",2LDK,"¥150,000/month","This beautiful house is located on a hill in Nagareyama City, offering stunning views of the ocean. Built in 2015, it boasts modern architecture and high-end finishes throughout. The layout includes a spacious living room, modern kitchen, two bedrooms, and a den. Perfect for a small family or young professionals. This house is pet-friendly and smoking is allowed on the balcony. Free Wi-Fi is provided and there is an elevator for easy access. The nearest subway station is a 10-minute walk and the closest station is Nagareyama Central Station. The ride to Tokyo Station takes approximately 30 minutes. There is also a supermarket within walking distance, making grocery shopping quick and convenient."
Spacious Saitama House,2018,"Saitama City, Midori Ward",2LDK,"¥150,000/month","This beautiful house was built in 2018 and features a spacious 2LDK layout. Perfect for families or roommates, this house is located in the Midori Ward of Saitama City. Pets are allowed, and smoking is allowed in designated areas. Free wifi is provided, and there is an elevator for convenient access to the upper floors. The nearest subway station is a 10-minute walk, and the station name is Midoriyama Station. It takes only 5 minutes to walk to the nearest supermarket."
Modern Tokyo House,2015,"Tokyo, Shibuya ward",2LDK,"¥180,000/month","This modern house is located in the heart of Tokyo, in the bustling Shibuya ward. Built in 2015, it offers a spacious 2LDK layout, perfect for families or roommates. The rental price is ¥180,000 per month, plus utilities. Pets and smoking are not allowed on the property. However, free wifi is provided and there is an elevator for easy access to the 4th floor unit. The nearest subway station is a 10 minute walk away, and the station name is Shibuya station. The nearest supermarket is also a 10 minute walk away."
Sakuragicho House,2010,"Kawasaki City, Kawasaki Ward",2DK,"¥120,000/month","This spacious 2DK house is located in a quiet residential area in Kawasaki. It was built in 2010 and is in excellent condition. The house is pet friendly and has free Wi-Fi. There is an elevator in the building for convenience. It takes 5 minutes to walk to Sakuragicho Station, which is on the Keihin-Tohoku and Negishi lines. The nearest supermarket is a 10-minute walk away."
Sunny Fujisawa House,2017,"Fujisawa, Kanagawa Prefecture",1LDK,"¥150,000/month","This modern and spacious 1LDK house is located in the beautiful city of Fujisawa, Kanagawa Prefecture. It was built in 2017 and is fully furnished with all necessary amenities for a comfortable stay. The house is pet-friendly and smoking is allowed. Free WiFi is provided and there is an elevator in the building. It takes 10 minutes to walk to the nearest subway station, Fujisawa Station, where you can take the JR Tokaido Line, Odakyu Enoshima Line, and Enoshima Electric Railway. The nearest supermarket is also located at Fujisawa Station, making it convenient for grocery shopping."
Cozy Apartment in Fujisawa,2016,"Fujisawa, Kanagawa",1LDK,"¥130,000/month","This cozy apartment is perfect for small families or couples. Located in Fujisawa, a quiet and peaceful city in the Kanagawa prefecture, this apartment offers easy access to public transportation and local amenities. The apartment is fully furnished and features one bedroom, a living room, dining area, kitchen, and bathroom. Pets and smoking are not allowed. Free wifi is available. The building has an elevator for convenience. The nearest subway station is a 10-minute walk away. The closest supermarket is a 5-minute walk from the apartment."
Cozy Chiba House,1998,"Chiba City, Chuo Ward",2LDK,"¥120,000/month","This charming house in the heart of Chiba City's Chuo Ward is perfect for those looking for a comfortable and convenient rental. Built in 1998, the house features a spacious 2LDK layout, ideal for small families or couples. Pets and smoking are not allowed in the house. Free WiFi is provided. The nearest subway station is a 10-minute walk away and the station name is Chiba Chuo Station. It takes about 15 minutes to walk to the nearest supermarket. The house does not have an elevator."
Cozy Kawasaki House for Rent,2012,"Kawasaki-shi, Kawasaki-ku",2LDK,"¥120,000/month",This modern house was built in 2012 and is located in the bustling city of Kawasaki. The spacious 2LDK layout is perfect for a family or roommates. Pets and smoking are not allowed in the house. Free WiFi is provided for tenants. The nearest subway station is a 10-minute walk away and the supermarket is just a 5-minute drive. Elevator is available in the building for easy access.
Cozy House in Chiba,2012,"Chiba City, Inage Ward",1LDK,"¥120,000/month","This beautiful house is located in the quiet and peaceful Inage Ward of Chiba City. Built in 2012, it features a spacious 1LDK layout with modern amenities and furnishings. Pets are allowed with an additional deposit, and smoking is strictly prohibited. Free wifi is provided for tenants. The nearest subway station, Inage Station, is a 10-minute walk away and provides easy access to Tokyo and other major cities. The nearest supermarket is also a 10-minute walk away, making grocery shopping convenient. Don't miss out on this cozy and convenient rental house in Chiba!"
Beachfront Bungalow,2005,"Chiba City, Mihama Ward",2DK,"¥180,000/month","Located right on the beach in the beautiful Mihama Ward of Chiba City, this bungalow offers a perfect summer rental for families or couples. The house was built in 2005 and features 2 bedrooms, a dining room, and a kitchen (2DK). Pets and smoking are not allowed.
	
Nearest subway station is Mihama-Koen Station, which is a 10-minute walk from the house. The nearest supermarket is two blocks away and takes about 5 minutes to walk to. The house does not have an elevator. Free wifi is provided. Enjoy swimming, surfing, and sunbathing right from your own private beach at this stunning rental house in Chiba."
Kawasaki Garden House,2002,"Kawasaki City, Miyamae Ward",1LDK,"¥120,000/month","- Pets allowed (small to medium sized dogs and cats only). 
- Smoking allowed in designated outdoor areas. 
- Free WiFi provided. 
- Elevator available. 
- 8 minute walk to Miyamae-Kodomo-Koen Station on the Den-en-toshi Line. 
- 10 minute walk to closest supermarket."
Sakura House,2010,"Yokohama, Kanagawa",2LDK,"¥200,000/month","Pet-friendly, non-smoking, free wifi provided, elevator available. 5 minutes walk to nearest subway station, Sotetsu Line Yokohama Station. 10 minutes train ride to nearest supermarket, Aeon Mall Yokohama."
Fujisawa Cozy House,2016,"Fujisawa, Kanagawa Prefecture",2LDK,"¥130,000/month","This cozy house is located in the charming city of Fujisawa, known for its beautiful beaches and relaxed atmosphere. It is a modern house built in 2016 and offers a spacious 2LDK layout, perfect for individuals or small families. The house is pet-friendly and smoking is allowed. Free wifi is provided and there is an elevator for convenience. The nearest subway station is a 10 minute walk and the station name is Fujisawa Station. It takes 15 minutes by train to reach the nearest supermarket. The house is also conveniently located near a park, perfect for outdoor activities. Come experience the best of Fujisawa at our cozy house for rent."
Kawasaki Cozy House,2015,"Kawasaki City, Tama Ward",2LDK,"¥150,000/month.","This cozy house located in the quiet neighborhood of Tama Ward in Kawasaki City is perfect for small families or couples. It was built in 2015 and is in great condition. The layout consists of 2 bedrooms, a living room, dining room, and kitchen. Pets and smoking are not allowed in the house. The house provides free wifi and has an elevator. It's a 10-minute walk to the nearest subway station and the nearest supermarket is only 5 minutes away by foot."
Modern Shibuya House with Garden,2018,"Shibuya City, Sendagaya",2LDK,"¥250,000/month","This newly built house is located in the bustling neighborhood of Shibuya City, just a short walk from the popular shopping, dining, and nightlife areas. The house features a spacious 2LDK layout, perfect for couples or small families. It also has a private garden, ideal for relaxing or hosting small gatherings. Pets are allowed with an additional fee. Smoking is not permitted inside the house. Free wifi is provided. The nearest subway station, Sendagaya Station, is a 5-minute walk away and takes 10 minutes to reach Shibuya Station. The nearest supermarket is a 3-minute walk away."
Modern 2LDK House near Meguro River,2015,"Tokyo, Meguro-ku",2LDK,"¥200,000/month","This beautiful and modern house is located in the trendy neighborhood of Meguro, just steps away from the Meguro River. The spacious 2LDK layout features a large living room and dining area, a fully equipped kitchen with stainless steel appliances, two bedrooms, and a bathroom. The rent includes free wifi and there is an elevator in the building. Pets are allowed upon approval. It takes only 7 minutes to walk to the nearest subway station, Meguro Station, where you can easily access various areas of Tokyo. The closest supermarket is just 5 minutes away by foot, making grocery shopping a breeze."
Cozy Saitama House,2015,"Saitama City, Urawa Ward",2LDK,"¥115,000/month","This modern house built in 2015 offers a comfortable and convenient lifestyle in the heart of Saitama. The spacious 2LDK layout provides ample space for a small family or couple. Pets are allowed, and the building has free wi-fi and an elevator. It takes just 10 minutes to walk to the nearest subway station, and from there it is a quick 20 minute ride to central Tokyo. The closest supermarket is also just a 5 minute walk away."
Relaxing Cottage in Fujisawa City,2010,"Fujisawa City, Kanagawa Prefecture",2LDK,"¥180,000/month","This cozy cottage is located in the scenic city of Fujisawa, perfect for those looking for a peaceful and relaxing living environment. The house was built in 2010 and is in excellent condition. It features a spacious 2LDK layout, including two bedrooms, a living room, dining area, and kitchen. Pets and smoking are allowed, and free wifi is provided. The nearest subway station is 10 minutes away by bus, and the supermarket is just a 5-minute walk from the house. Enjoy the beautiful natural surroundings and convenient amenities of Fujisawa living in this lovely cottage."
Modern 3LDK House in Kawasaki,1998,"Kawasaki, Tama ward",3LDK,"¥180,000/month","This newly renovated, modern 3LDK house is located in the heart of Kawasaki city, in the quiet and residential Tama ward. It is within walking distance to the nearest subway station, which takes only 20 minutes to reach central Tokyo. The house is also conveniently located near supermarkets, convenience stores, and restaurants. Pets are allowed with an additional pet deposit, and there is free wifi available. The house also has an elevator, making it easily accessible for all tenants. It is perfect for families or those looking for a spacious and modern living space in a prime location."
Saitama Villa,2015,"Saitama City, Urawa Ward",2LDK,"¥150,000/month","This beautiful villa is located in the heart of Saitama, just a short walk from Urawa Station. Built in 2015, it offers modern amenities and a spacious 2LDK layout. The house is pet-friendly and has free Wi-Fi, but smoking is not allowed. An elevator is available for easy access to the second floor. It takes 5 minutes to walk to Urawa Station and the nearest supermarket is also a 5-minute walk away."
Cozy Corner House,2015,"Saitama City, Omiya Ward",2LDK,"¥120,000/month","This modern house was built in 2015 and is located in the bustling city of Saitama, in the Omiya Ward. The house is a 2LDK layout, perfect for a small family or a group of friends. Pets are allowed, and smoking is only allowed outside on the spacious balcony. Free wifi is provided and there is an elevator for convenience. The nearest subway station is a 15-minute walk away, and the station name is Omiya Station. From there, it takes about 20 minutes to get to central Tokyo. The nearest supermarket is also a 15-minute walk away, making grocery shopping easily accessible. Overall, this house offers a comfortable and convenient living space in a great location."
Zen House in Shibuya,2015,"Shibuya, Tokyo",1LDK,"¥170,000/month","This stunning 1LDK house is located in the vibrant and bustling area of Shibuya in Tokyo. Built in 2015, it offers modern and minimalist design with plenty of natural light and spacious rooms. The house is pet-friendly and has free WiFi. It is a 5-minute walk to the nearest subway station and takes only 10 minutes to get to Shibuya station. There is an elevator in the building for easy access. The closest supermarket is a 3-minute walk away."
Cozy Yokohama House,2002,"Yokohama-city, Nishi-ku",2LDK,"¥150,000/month","Pet friendly, smoking is not allowed, free wifi provided, elevator available. 5 minutes walk to nearest subway station, Nishi-Yokohama station. 10 minutes by train to nearest supermarket."
Cozy Tokyo House,2011,"Tokyo, Shibuya Ward",1LDK,"¥180,000/month","This modern 1LDK house is located in the popular Shibuya ward of Tokyo. It was built in 2011 and features a spacious living room, dining area, kitchen, bedroom, and bathroom. The house is fully furnished and includes utilities, internet, and weekly cleaning services. Pets are allowed with an additional fee. Smoking is not allowed inside the house. The nearest subway station is a 10-minute walk away and the nearest supermarket is a 5-minute walk. The house has an elevator for easy access. Perfect for anyone looking for a comfortable and convenient living space in Tokyo."
Tokyo House Rental,2020,"Tokyo, Shibuya Ward",2LDK,"¥180,000/month",Pet friendly house with free WiFi and elevator. 10 minute walk to Shibuya Station and 5 minute walk to nearest supermarket.
Yokohama Cozy House,2015,"Yokohama, Nishi Ward",1LDK,"¥150,000/month","Pet-friendly, no smoking, free wifi provided. 5 minute walk to nearest subway station, 10 minutes to Haneda Airport. 15 minutes to nearest supermarket by foot."
Chiba Ocean House,2016,"Chiba City, Mihama Ward",2LDK,"¥180,000/month","This spacious 2LDK house is located in the beautiful coastal city of Chiba. Built in 2016, it features modern amenities and a sleek, minimalist design. The house is pet-friendly and smoking is allowed on the outdoor balcony. Free wifi is available. The nearest subway station is a 10-minute walk and there is an elevator in the building. The nearest supermarket is a 5-minute walk away."
Cozy House in Yokohama,2015,"Minami-ku, Yokohama",2LDK,"¥120,000/month","This cozy house was built in 2015 and is located in the quiet Minami-ku area of Yokohama. Perfect for a family or roommates, this 2LDK layout features two spacious bedrooms, a living room/dining room combo, and a kitchen. The house is pet-friendly and has free wifi. There is an elevator in the building for easy access, and the nearest subway station is a 10-minute walk away. There is also a supermarket within a 5-minute walk. Come live in comfort in this beautiful Yokohama house."
Yokohama Paradise Villa,2016,"Yokohama, Nishi-ku",2LDK,"¥180,000/month","This spacious and modern 2LDK house is located in the quiet and peaceful neighborhood of Nishi-ku, Yokohama. The house was newly built in 2016, offering a clean and comfortable living space. Pets and smoking are not allowed in the house. Free Wi-Fi is provided for tenants. The house has an elevator and is located a 5-minute walk from the nearest subway station, Nishigaoka Station. It takes approximately 15 minutes to reach the station on foot. The nearest supermarket is a 10-minute walk away, making grocery shopping convenient for tenants."
Sakura House,2010,"Chiyoda-ku, Tokyo",2LDK,"¥200,000/month","Located in the bustling district of Chiyoda-ku, this modern and spacious 2LDK house is perfect for families or friends looking to experience the best of Tokyo. Pets are allowed and free wifi is provided. The nearest subway station, Chiyoda Station, is a 5 minute walk away. There is also an elevator in the building. The nearest supermarket is a 10 minute walk away, making grocery shopping convenient and easy."
